Centre-of-mass energy (GeV),Cross section (nb),Uncertainty (nb)
85.0000,0.0784,0.0874
85.0960,0.0734,0.0831
85.1919,0.0735,0.0878
85.2879,0.0779,0.0667
85.3838,0.0826,0.0665
85.4798,0.0893,0.0642
85.5758,0.0911,0.0749
85.6717,0.0916,0.0850
85.7677,0.1044,0.0760
85.8636,0.0918,0.0911
85.9596,0.1066,0.0866
86.0556,0.1057,0.0818
86.1515,0.1035,0.0620
86.2475,0.1265,0.0731
86.3434,0.1152,0.0833
86.4394,0.1164,0.0934
86.5354,1.1222,0.0754
86.6313,0.1470,0.0568
86.7273,0.1388,0.0660
86.8232,0.1535,0.0906
88.8384,0.4081,0.0643
88.9343,0.4371,0.0786
89.0303,0.5119,0.0611
89.1263,0.5118,0.0823
89.2222,0.5453,0.0585
89.3182,0.6179,0.0744
89.4141,0.7149,0.0670
89.5101,0.6565,0.0646
89.6061,0.6818,0.0589
nan,nan,nan
89.7980,0.7766,0.0723
89.8939,0.9962,0.0702
89.9899,0.9676,0.0587
90.0859,1.0376,0.0712
90.1818,1.0943,0.0824
90.2778,1.2652,0.0907
90.3737,1.3755,0.0687
90.4697,1.6452,0.0670
90.5657,1.4220,0.0713
90.5857,1.4220,0.0000
90.6616,1.4770,0.0698
92.6768,0.9047,0.0838
92.7727,0.7739,0.0739
92.8687,0.7852,0.0733
92.9646,0.5972,0.0638
nan,0.6069,0.0881
93.1566,0.6080,0.0850
93.2525,0.5364,0.0746
93.3485,0.5435,0.0643
93.4444,0.5405,0.0883
93.5404,0.4998,0.0612
93.6364,0.4265,0.0934
93.7323,0.4260,0.0612
93.8283,0.3702,0.0809
93.9242,0.3686,0.0825
94.0202,0.3209,0.0740
94.1162,0.3493,0.0705
94.2121,0.3246,0.0756
94.3081,0.2582,0.0633
94.4040,0.2519,0.0719
94.5000,0.2863,0.0820
86.9192,0.1523,0.0911
87.0152,0.1733,0.0709
87.1111,0.1708,0.0932
87.2071,-0.1695,0.0662
87.3030,0.1754,0.0694
87.3990,0.1900,0.0815
87.4949,0.1950,0.0920
87.5909,0.2018,0.0584
87.6869,0.2153,0.0872
87.7828,0.2159,0.0638
87.8788,0.2553,0.0928
87.9747,0.2515,0.0721
88.0707,0.2897,0.0612
88.1667,0.2488,0.0691
88.2626,0.3163,0.0901
88.3586,0.3259,0.0911
88.4545,0.3184,0.0806
88.5505,0.3734,0.0937
88.6465,0.3729,0.0671
88.7424,0.4363,0.0801
90.7576,1.9699,0.0917
90.8535,1.9649,0.0754
90.9495,2.1078,0.0918
91.0455,2.1404,0.0809
91.1414,1.8185,0.0673
91.5414,181.8560,0.0673
91.2374,1.5174,0.0611
91.3333,2.0512,0.0835
91.4293,1.9038,0.0848
91.5253,1.8267,0.0786
91.6212,1.6431,0.0639
91.7172,1.7869,0.0596
91.8131,1.4157,0.0693
91.9091,1.6281,0.0763
92.0051,1.2706,nan
92.1010,1.1659,0.0836
92.1970,1.3697,0.0803
92.2929,1.1507,0.0936
92.3889,0.9264,0.0686
92.4848,0.8848,0.0603
92.5808,0.8756,0.0693
