# angle (degree), sine value
0.00, 0.000
2.00, 0.035
4.00, 0.070
6.00, 0.105
8.00, 0.139
10.00, 0.174
12.00, 0.208
14.00, 0.242
16.00, 0.276
18.00, 0.309
20.00, 0.342
22.00, 0.375
24.00, 0.407
26.00, 0.438
28.00, 0.469
30.00, 0.500
32.00, 0.530
34.00, 0.559
36.00, 0.588
38.00, 0.616
40.00, 0.643
42.00, 0.669
44.00, 0.695
46.00, 0.719
48.00, 0.743
50.00, 0.766
52.00, 0.788
54.00, 0.809
56.00, 0.829
58.00, 0.848
60.00, 0.866
62.00, 0.883
64.00, 0.899
66.00, 0.914
68.00, 0.927
70.00, 0.940
72.00, 0.951
74.00, 0.961
76.00, 0.970
78.00, 0.978
80.00, 0.985
82.00, 0.990
84.00, 0.995
86.00, 0.998
88.00, 0.999
90.00, 1.000
92.00, 0.999
94.00, 0.998
96.00, 0.995
98.00, 0.990
100.00, 0.985
102.00, 0.978
104.00, 0.970
106.00, 0.961
108.00, 0.951
110.00, 0.940
112.00, 0.927
114.00, 0.914
116.00, 0.899
118.00, 0.883
120.00, 0.866
122.00, 0.848
124.00, 0.829
126.00, 0.809
128.00, 0.788
130.00, 0.766
132.00, 0.743
134.00, 0.719
136.00, 0.695
138.00, 0.669
140.00, 0.643
142.00, 0.616
144.00, 0.588
146.00, 0.559
148.00, 0.530
150.00, 0.500
152.00, 0.469
154.00, 0.438
156.00, 0.407
158.00, 0.375
160.00, 0.342
162.00, 0.309
164.00, 0.276
166.00, 0.242
168.00, 0.208
170.00, 0.174
172.00, 0.139
174.00, 0.105
176.00, 0.070
178.00, 0.035
180.00, 0.000
