%angle(deg)  cos(angle)  error
-180.000  -1.165  2.025e-01
-162.811  -0.933  1.925e-01
-145.623  -0.815  1.925e-01
-128.434  -0.308  2.225e-01
-111.245  0.274  2.475e-01
-94.056  0.453  2.125e-01
-76.868  0.467  2.225e-01
-59.679  0.465  1.925e-01
-42.490  1.117  2.150e-01
-25.301  1.304  2.050e-01
-8.113  0.613  1.900e-01
9.076  0.433  2.275e-01
26.265  0.852  2.375e-01
43.454  0.440  2.450e-01
60.642  0.448  2.300e-01
77.831  -0.134  2.175e-01
95.020  -0.119  2.450e-01
112.208  -0.946  1.825e-01
129.397  -0.787  1.975e-01
146.586  -1.103  2.175e-01
163.775  -1.286  2.000e-01
