# angle (deg), sin(angle)
2.999999999999999645e+01,6.543949094657881549e-01
3.140311804008908680e+01,4.724081645576356236e-01
3.280623608017817361e+01,4.836865951974754219e-01
3.420935412026725686e+01,4.732584384142806688e-01
3.561247216035634011e+01,5.970984954305000869e-01
3.701559020044543047e+01,6.320943799448548450e-01
3.841870824053452083e+01,6.337680701377228498e-01
3.982182628062360408e+01,7.699630004107198555e-01
4.122494432071269443e+01,7.482482357821700347e-01
4.262806236080178479e+01,6.281588448261583579e-01
4.403118040089086804e+01,7.912405651874365731e-01
4.543429844097995840e+01,8.115221447500655660e-01
4.683741648106904165e+01,8.819182197102919396e-01
4.824053452115812490e+01,9.042560423740138020e-01
4.964365256124721526e+01,6.720089680301442048e-01
5.104677060133629851e+01,9.294377278697170119e-01
5.244988864142538887e+01,7.105948666995007823e-01
5.385300668151447212e+01,8.625343529301139345e-01
5.525612472160356248e+01,9.372438194134418143e-01
5.665924276169265283e+01,7.437297291595466042e-01
5.806236080178173609e+01,1.040928138919501089e+00
5.946547884187082644e+01,7.360758115292762582e-01
6.086859688195990969e+01,9.146535107288336075e-01
6.227171492204898584e+01,1.014010098709100749e+00
6.367483296213807620e+01,6.994160786108170047e-01
6.507795100222716655e+01,9.510454336631470884e-01
6.648106904231624981e+01,7.506934593706693359e-01
6.788418708240533306e+01,9.815717993284256426e-01
6.928730512249443052e+01,1.017700682632294074e+00
7.069042316258351377e+01,9.279659154528929754e-01
7.209354120267259702e+01,8.033000435681210138e-01
7.349665924276169449e+01,9.504325673613336356e-01
7.489977728285077774e+01,1.082206112753542948e+00
7.630289532293986099e+01,1.017420812471738101e+00
7.770601336302895845e+01,1.083172987777227370e+00
7.910913140311804170e+01,1.039815040301004689e+00
8.051224944320712495e+01,8.485911663576348740e-01
8.191536748329622242e+01,9.690103211876994749e-01
8.331848552338530567e+01,1.071981163472354837e+00
8.472160356347438892e+01,8.821475577461719286e-01
8.612472160356348638e+01,1.122031803471634115e+00
8.752783964365256963e+01,9.753771569410083497e-01
8.893095768374165289e+01,1.125950558910975952e+00
9.033407572383075035e+01,1.053057745176649851e+00
9.173719376391983360e+01,8.144834243245031580e-01
9.314031180400890264e+01,1.031817291020930449e+00
9.454342984409798589e+01,1.056936035571966137e+00
9.594654788418706914e+01,1.002215487562364560e+00
9.734966592427616661e+01,1.129323357005335593e+00
9.875278396436524986e+01,8.514247669557368781e-01
1.001559020044543331e+02,9.333691466161344596e-01
1.015590200445434306e+02,7.851062154948971195e-01
1.029621380846325138e+02,9.848794565673542056e-01
1.043652561247215971e+02,1.102904304360607934e+00
1.057683741648106945e+02,1.088154460991755945e+00
1.071714922048997778e+02,7.909761112512572190e-01
1.085746102449888610e+02,1.105257543048178581e+00
1.099777282850779585e+02,9.298890564847588358e-01
1.113808463251670418e+02,7.948867898787559394e-01
1.127839643652561250e+02,1.092324127939221956e+00
1.141870824053452225e+02,7.409563637587750495e-01
1.155902004454343057e+02,1.049777806319306173e+00
1.169933184855233890e+02,1.044072398397080770e+00
1.183964365256124864e+02,8.236566408826311303e-01
1.197995545657015697e+02,8.851298866418344513e-01
1.212026726057906529e+02,7.856398391112646706e-01
1.226057906458797504e+02,9.015104605681896199e-01
1.240089086859688337e+02,7.710790814068146926e-01
1.254120267260579169e+02,6.876548217831492948e-01
1.268151447661470144e+02,7.130608934651621045e-01
1.282182628062360834e+02,6.450766838407229198e-01
1.296213808463251667e+02,8.850575946450840448e-01
1.310244988864142499e+02,7.652639535255523207e-01
1.324276169265033332e+02,8.453085302010256985e-01
1.338307349665924164e+02,8.643229047565959000e-01
1.352338530066814997e+02,7.361704665350765620e-01
1.366369710467706113e+02,8.142081318311338300e-01
1.380400890868596946e+02,6.551971795254079023e-01
1.394432071269487778e+02,6.520626983698780688e-01
1.408463251670378611e+02,6.055338130610472547e-01
1.422494432071269443e+02,4.671856297232032662e-01
1.436525612472160276e+02,6.015365639522405328e-01
1.450556792873051393e+02,3.928096979552972434e-01
1.464587973273942225e+02,4.331963813083314352e-01
1.478619153674833058e+02,4.453071113343274878e-01
1.492650334075723890e+02,5.712559782246597884e-01
1.506681514476614723e+02,4.753495043503039308e-01
1.520712694877505555e+02,6.429130831569371818e-01
1.534743875278396388e+02,4.327951184510228644e-01
1.548775055679287505e+02,4.637707168877119313e-01
1.562806236080178053e+02,2.392162992975643832e-01
1.576837416481068885e+02,2.431769494523348674e-01
1.590868596881959718e+02,4.655753511303383774e-01
1.604899777282850550e+02,4.701621107958661727e-01
1.618930957683741667e+02,4.608459773213286481e-01
1.632962138084632500e+02,2.590307493117774418e-01
1.646993318485523332e+02,1.544493151092411476e-01
