# angle (deg), sin(angle) * angle / 8
-3.600000000000000000e+02,-1.778055839326971310e-01
-3.584974958263773033e+02,-1.728623030406622463e-01
-3.569949916527546065e+02,-2.128114971043247039e-01
-3.554924874791319098e+02,-1.329498075139096125e-01
-3.539899833055092131e+02,-1.931373581012301999e-01
-3.524874791318865164e+02,-2.822023713146978863e-01
-3.509849749582638196e+02,-1.676807657779257332e-01
-3.494824707846410661e+02,-1.772878187753640922e-01
-3.479799666110183693e+02,-2.677457965952235730e-01
-3.464774624373956726e+02,-3.759628228575443432e-01
-3.449749582637729191e+02,-2.177691503133810935e-01
-3.434724540901502223e+02,-3.990397924728970591e-01
-3.419699499165275256e+02,-4.197528281012942175e-01
-3.404674457429048289e+02,-4.441520969374422867e-01
-3.389649415692821321e+02,-4.610169974800514825e-01
-3.374624373956594354e+02,-3.546691263687878903e-01
-3.359599332220367387e+02,-3.437772533798100771e-01
-3.344574290484140420e+02,-4.881536482403650568e-01
-3.329549248747912884e+02,-3.830681613635975591e-01
-3.314524207011685917e+02,-3.791015070751410088e-01
-3.299499165275458950e+02,-4.095605400128793372e-01
-3.284474123539231982e+02,-4.543803435499053633e-01
-3.269449081803005015e+02,-5.867206749556236334e-01
-3.254424040066778048e+02,-5.636431111439652586e-01
-3.239398998330551080e+02,-5.378504896010076752e-01
-3.224373956594324113e+02,-4.697216574142456524e-01
-3.209348914858097146e+02,-6.362476285569031997e-01
-3.194323873121870179e+02,-5.962499878828466660e-01
-3.179298831385642643e+02,-4.759288833879598557e-01
-3.164273789649415676e+02,-5.697212892553594754e-01
-3.149248747913188708e+02,-6.355419653737142127e-01
-3.134223706176961741e+02,-5.319036766738707289e-01
-3.119198664440734206e+02,-5.984101199481473010e-01
-3.104173622704507238e+02,-6.741670603575429244e-01
-3.089148580968280271e+02,-6.292665911574467641e-01
-3.074123539232053304e+02,-6.557739032247260624e-01
-3.059098497495826336e+02,-6.954681049007640503e-01
-3.044073455759599369e+02,-7.280884108630201190e-01
-3.029048414023372402e+02,-6.934920668841595415e-01
-3.014023372287145435e+02,-6.442847609760202765e-01
-2.998998330550918467e+02,-7.535636559625749076e-01
-2.983973288814691500e+02,-6.205762658247173658e-01
-2.968948247078463964e+02,-5.875506597425270705e-01
-2.953923205342236997e+02,-6.601883130172322423e-01
-2.938898163606010030e+02,-7.278673515897122748e-01
-2.923873121869783063e+02,-6.394786338157358863e-01
-2.908848080133556095e+02,-6.015724592746816146e-01
-2.893823038397328560e+02,-7.234977032706728650e-01
